X	Y	F_XY
0.402600672	0.865923097	-179.2347176
0.047515519	0.556298897	-179.9571423
0.623841854	0.952000136	-178.6743265
0.941860199	0.446269301	-179.8331536
0.045163378	0.559725187	-179.9586937
0.458213956	0.140187927	-180.0024185
0.163760581	0.91776088	-179.6108128
0.062820482	0.050183436	-179.9997234
0.126854898	0.801903514	-179.7681825
0.871807075	0.545164007	-179.6370375
0.515970198	0.261683742	-179.9636684
0.492244358	0.69460779	-179.4558125
0.749555191	0.595902463	-179.5362971
0.673346945	0.035915915	-180.0136784
0.030585953	0.476190118	-179.9796387
0.443200587	0.588458714	-179.6551697
0.173588363	0.997895274	-179.5114942
0.715764135	0.392963495	-179.8697368
0.853495672	0.423211245	-179.8496872
0.313521528	0.960491571	-179.2267
